Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
"DISCO LIXA DIAMANTADO PARA POLIMENTO 4"" - GRAO 3000 THOMPSON";002745;THOMPSON;LIXAS;5;UN;Ativo;68042119;NÃO TRIBUTADO (CSOSN 400)
ESMALTE BRILHANTE SECA RAPIDO (BASE AGUA) / BRANCO;002695;;;5;GL;Ativo;32091010;
FERROX 1LT;000494;;;5;UN;Ativo;38101010;NÃO TRIBUTADO (CSOSN 400)
FUTURA  TINTA PISO VERDE 18LT;002757;FUTURA;TINTA ACRILICA;5;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM BRANCO 900 ML;001497;FUTURA;TINTA ACRILICA;5;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ACAO TEMPO EMBORRACHADA BRANCA 3,6;001366;FUTURA;TINTA ACRILICA;5;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO ACET EPOXI BRANCO 3,6 lt;002643;FUTURA;TINTA ESMALTE ;5;GL;Ativo;32091020;TRIBUTADO (CSOSN 102)
FUTURA ECOLOGICO B.AGUA BRILHO VERDE FOLHA 3,6 LT;001847;FUTURA;TINTA ESMALTE ;5;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO CINZA ESCURO;002655;FUTURA;TINTA ESMALTE ;5;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO TABACO 3,6 LT SOLVENTE;001505;FUTURA;TINTA ESMALTE ;5;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA RESINA PROTETORA INCOLOR 3,6 LT;001539;FUTURA;Impermeabilização e Vedação;5;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD BRANCO 18 LT;001203;FUTURA;TINTA ACRILICA;5;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD BRANCO 900 ML;001496;FUTURA;TINTA ACRILICA;5;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO AMARELO 18 LT;001624;FUTURA;TINTA ACRILICA;5;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO AZUL 18 LT;001307;FUTURA;TINTA ACRILICA;5;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO CONCRETO PISO 3,6 LT;001365;FUTURA;TINTA ACRILICA;5;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
ITAQUA DILUENTE PU 5 L (NOVO);000657;;;5;UN;Ativo;32089010;TRIBUTADO (CSOSN 102)
ITAQUA THINNER 37 05 LTS;001317;;;5;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
JB TINTAS TEXTURA  PROJETADA INT/EXT 25 KG;002660;JB TINTAS;Efeitos Decorativos;5;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
JB TINTAS TEXTURA ARENATO INT/EXT 25KG;001199;JB TINTAS;Efeitos Decorativos;5;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
MAXI RUBBER BATIDA DE PEDRA BRANCO 900ML;000572;;;5;QT;Ativo;32091010;TRIBUTADO (CSOSN 102)
SALVABRAS SALVA RALO 15 MM;001393;;;5;UN;Ativo;48115129;TRIBUTADO (CSOSN 102)
SPRAY DSCOLOR LUMINOSO 400ML / AMARELO 50511;002469;;;5;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR LUMINOSO 400ML / VERDE 50514;002467;;;5;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRANCO ACT 3,6 LT AGUA;000381;;;5;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRANCO BRTE  3,6 LT SOLVENTE;000377;;;5;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO FOSCO 900 ML SOLVENTE;001225;;;5;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL AZUL CLARO - 350ML;001887;;;5;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL VERDE ESCURO - 350ML;001880;;;5;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TIGRE DESEMPENADEIRA ACO INOX CAB ABER 12X25CM;002631;;;5;UN;Ativo;82055900;
TIGRE DESEMPENADEIRA PLAST 30X17CM;002731;TIGRE;Utilidades;5;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
TIGRE KIT 1522 REPARO 7 PECAS 18.50.597;002552;;;5;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
TIGRE KIT 1582 - 5 PECAS 18.50.507;002730;TIGRE;Utilidades;5;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO DE ESPUMA 23CM 1342 S/C AMARE PC 18.50.560;002539;TIGRE;;5;UN;Ativo;96034010;
ADELBRAS FITA CREPE AUTO AMARELA 765 48MM X 40M 15.33.017;002752;Adelbras;LIXAS;4;UN;Ativo;48114110;NÃO TRIBUTADO (CSOSN 400)
ANJO MAIS ACR. PRE. BRANCO FOSCA 3,6 LT;001687;Anjo;TINTA ACRILICA;4;GL;Ativo;32091010;TRIBUTADO (CSOSN 102)
ANJO PINTA DECK NATURAL SEMIBRILHO 3,6 LTS;001616;;;4;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS ABRE TRINCA 375;000161;;;4;UN;Ativo;82055900;NÃO TRIBUTADO (CSOSN 400)
ATLAS ESPATULA MULTIUSO METALICA AT195/1;001265;;;4;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPONJA ABRASIVA 120X95 MEDIA AT18/180;001822;;;4;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
ATLAS FITA TELADA REPAROS 50MMX45M;001362;;;4;UN;Ativo;70196900;TRIBUTADO (CSOSN 102)
ATLAS GARFO DUPLO PROFISSIONAL AT360/46;001345;;;4;UN;Ativo;76169900;TRIBUTADO (CSOSN 102)
ATLAS GOL PELE DE CARN 23CM 923/19;001471;;;4;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS LUVA DE ALGODAO PIGMENTADA G AT1303G;001646;;;4;UN;Ativo;61161000;TRIBUTADO (CSOSN 102)
ATLAS OCULOS DE PROTECAO INCOLOR AT3300/1;001820;;;4;UN;Ativo;90049020;TRIBUTADO (CSOSN 102)
ATLAS PAD DE CANTOS C/ REFIL AT750/60;001648;;;4;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS PINCEL ARTISTICO CHATO PELO SUINO 915/10;001656;;;4;UN;Ativo;96033000;TRIBUTADO (CSOSN 102)
ATLAS PINCEL ARTISTICO CHATO PELO SUINO 915/18;001657;;;4;UN;Ativo;96033000;TRIBUTADO (CSOSN 102)
ATLAS PINCEL ARTISTICO CHATO PELO SUINO 915/2;001654;;;4;UN;Ativo;96033000;TRIBUTADO (CSOSN 102)
ATLAS PINCEL ARTISTICO CHATO PELO SUINO 915/6;001652;;;4;UN;Ativo;96033000;TRIBUTADO (CSOSN 102)
ATLAS REFIL ESTILETE TRAPEZOIDAL AT1409;001863;;;4;UN;Ativo;82119390;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA ANGULAR AT345 '2.1/2';001519;;;4;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA PROFISSIONAL AT717/3 '1';001531;;;4;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 319 1;001450;;;4;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
BASE MF - CORALIT AB ULTRA RES 800M 02.23.050;002696;;;4;QT;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
BASE P - CORALIT AB ULTRA RES 800M 02.23.045;002697;;;4;QT;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
BASE P - DECORA MATTE EXTRA FOSCO 3.2L - CORAL;000525;Coral;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BASE T - CORALIT AB ULTRA RES 3.2L ;002609;Coral;TINTA ESMALTE ;4;GL;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
BASE T - DECORA MATE FOSCO 800M 02.23.255;002700;Coral;TINTA ACRILICA;4;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
CIMENTO QUEIMADO CINZA CLARO;002647;;;4;GL;Ativo;32091010;
CIMENTO QUEIMADO CINZA MEDIO;002642;;;4;GL;Ativo;32091010;
CORAL RENDE MUITO BRANCO 0,9L;000620;Coral;TINTA ACRILICA;4;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
CORAL RENOVA FOSCO BRANCO 3.2L;000437;Coral;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
ESMALTE COR E PROTECAO FOSCO (B.AGUA) GL / BRANCO;002694;;;4;GL;Ativo;32091010;
FERROX 500 ML;000493;;;4;UN;Ativo;38101010;NÃO TRIBUTADO (CSOSN 400)
FITA DUPLA FACE ADELBRAS ACRIL. 12X20M FIXA PRO;002495;;;4;UN;Ativo;35069190;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM AMARELO ALEGRIA 3,6L;002758;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM PRETO 3,6 LT;002560;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;
FUTURA ECOLOGICO B.AGUA ACETINADO PRETO 900 ML;001501;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO PLATINA GL 3,6 LT;001422;FUTURA;TINTA ESMALTE ;4;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO PLATINA 900 ML;001542;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO PRETO 900 ML;001499;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRTE VERDE FOLHA 900 ML;001954;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUNDO PREPARADOR P/PINTURA 3,6 LT;001305;FUTURA;Complementos e Preparação;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUNDO PREPARADOR P/PINTURA 900 ML;002714;FUTURA;Complementos e Preparação;4;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.ACET. BRANCO 3,6 LT SOLVENTE;001418;FUTURA;TINTA ESMALTE ;4;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AZUL DEL REY;002708;FUTURA;TINTA ESMALTE ;4;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AZUL FRANCA 900 ML;001977;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO GELO;002653;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO GELO 3,6 LT SOLVENTE;001619;FUTURA;TINTA ESMALTE ;4;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO MARROM CONHAQUE 3,6 LT SOLV.;002526;FUTURA;TINTA ESMALTE ;4;GL;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO TABACO 900 ML SOLVENTE;001507;FUTURA;TINTA ESMALTE ;4;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD ERVA DOCE 3,6 LT;001947;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD PITANGA 3,6 LT;001949;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD TERRACOTA 3,6 LT;001945;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD VERDE MUSGO 3,6L;002755;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO AZUL 3,6 LT;001538;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO BRANCO 3,6 LT;001212;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO MARROM 3,6 LT;001628;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO VERDE;002701;FUTURA;TINTA ACRILICA;4;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
MAXI RUBBER REMOVEDOR PASTOSO 1 KG 16.59.040;002733;Maxi Rubber;Complementos e Preparação;4;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
MAXI RUBBER REMOVEDOR PASTOSO 500G 16.59.039;002732;Maxi Rubber;Complementos e Preparação;4;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
QUARTZOLIT ADIT PLASTIFICANTE P/ ARGAMASSAS 100ML;001940;;;4;UN;Ativo;32149000;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR ALTA TEMPERATURA 400ML / VERMELHO FOSCO 50510;002466;;;4;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR LUMINOSO 400ML / LARANJA 50512;002468;;;4;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR LUMINOSO 400ML / PINK 50513;002470;;;4;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / CINZA CLARO 50552;002475;;;4;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / PRETO FOSCO 50541;002483;DSCOLOR;;4;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV CIMENTO QUEIMADO 5KG - TUNEL DE CONCRETO;000328;;;4;UN;Ativo;32141020;NÃO TRIBUTADO (CSOSN 400)
SUV FUNDO PREPARADOR BASE AGUA 18 LT;001220;;;4;LA;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL ROSA - 350ML;001882;;;4;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL VERDE - 350ML;001881;;;4;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TIGRE DESEMPENADEIRA ACO INOX CAB ABER 12X35CM;002632;;;4;UN;Ativo;82055900;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO DE ESPUMA 23CM 1330 S/C BCO PC 18.50.555;002538;TIGRE;;4;UN;Ativo;96034010;
TINTAS SUPER CASA FUNDO PREPA. BARRICA 16 LTS;000004;;;4;UN;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
XADREZ VERDE 50ML;001275;Sherwin Williams;Utilidades;4;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
AFFATON - AMARELO C2 (FR);002720;Coral;Utilidades;3;UN;Ativo;32041700;NÃO TRIBUTADO (CSOSN 400)
AFFATON - AMARELO OXIDO T11 (FR);002723;Coral;Utilidades;3;UN;Ativo;32064990;NÃO TRIBUTADO (CSOSN 400)
AFFATON - BRANCO S10 (FR);002717;Coral;Utilidades;3;UN;Ativo;32061990;NÃO TRIBUTADO (CSOSN 400)
AFFATON - MAGENTA O8 (FR);002719;Coral;Utilidades;3;UN;Ativo;32041700;NÃO TRIBUTADO (CSOSN 400)
AFFATON - VERDE M6 (FR);002724;Coral;Utilidades;3;UN;Ativo;32041700;NÃO TRIBUTADO (CSOSN 400)
AFFATON - VERMELHO INTENSO V (FR);002726;Coral;Utilidades;3;UN;Ativo;32041700;NÃO TRIBUTADO (CSOSN 400)
AFFATON - VERMELHO OXIDO H4 (FR);002721;Coral;Utilidades;3;UN;Ativo;32064990;NÃO TRIBUTADO (CSOSN 400)
ANJO VERNIZ DURA MAIS NAT. ACET. 900 ML;001594;;;3;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 900 ML;001598;;;3;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 3,6 LTS;001602;;;3;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 900 ML;001597;;;3;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS DESEMPE. ACO EFEITO DECORA. 254MM AT112;000181;;;3;UN;Ativo;96039000;NÃO TRIBUTADO (CSOSN 400)
ATLAS ESPATULA ACO INOX 20CM CABO MADEIRA AT6155/22;001453;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA ANGULAR DE ACO INOX 3 REF: AT 6165/3;001643;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA RETA. DRYWALL INOX '10' AT6455/10;001526;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA RETA. DRYWALL INOX '12' AT6455/12;001638;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS FITA TELADA REPAROS 100MMX20M;001361;;;3;UN;Ativo;70196900;TRIBUTADO (CSOSN 102)
ATLAS LUVA BANHADA EM PU EG AT1304EG;001833;;;3;UN;Ativo;61161000;TRIBUTADO (CSOSN 102)
ATLAS RASPADOR DE TINTA 6CM 275/6;001835;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS RASPADOR P/ REJUNTE ATR193;001530;;;3;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS REFIL DE LAMINA P/ ESTILETE 18MM AT175R;001533;;;3;UN;Ativo;82119390;TRIBUTADO (CSOSN 102)
ATLAS ROLO ANTIGOTA POLIAMIDA DUP 46CM;001344;;;3;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS ROLO P/ MASSA NIVELOPRO 23CM AT1122/23;001349;;;3;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS ROLO RENDEPLUS LA '19' 9CM AT327/9;000183;;;3;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ATLAS TRINCHA ANGULAR AT345 1;001518;;;3;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA PROFISSIONAL AT717/7 '3';001532;;;3;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
BANDEJA TINTA TIGRE PRO 46CM LARANJA REF.2307;002487;TIGRE;;3;UN;Ativo;39269090;
BASE MF - CORALIT TOTAL BR 3.2L 02.23.268;002763;Coral;TINTA ESMALTE ;3;UN;Ativo;32091010;TRIBUTADO (CSOSN 102)
BASE P - CORALIT TOTAL BR AGUA 3.2L ;002761;Coral;TINTA ACRILICA;3;UN;Ativo;32091010;TRIBUTADO (CSOSN 102)
BASE PM - RENDE MUITO 16L CORAL;002570;Coral;TINTA ACRILICA;3;LA;Ativo;32091010;
BASE T - CORALIT TOTAL BR AGUA 3.2L ;002762;Coral;TINTA ESMALTE ;3;UN;Ativo;32091010;TRIBUTADO (CSOSN 102)
BASE T - DECORA MATE FOSCO 3.2L 02.23.256;002699;Coral;TINTA ACRILICA;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BASE T RENOVA EFEITO LOUSA AC 800ML;002760;Coral;TINTA ACRILICA;3;UN;Ativo;32091010;TRIBUTADO (CSOSN 102)
BASTON DESENGRIPANTE  300ML CHEMICOLOR;002579;;;3;UN;Ativo;38249941;
FUTURA  ABSOLUTO PRM AZUL OCEANO 3,6L;002756;FUTURA;TINTA ACRILICA;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA  ABSTO PRM SILENCIO DE INVERNO 3,6;001918;FUTURA;TINTA ACRILICA;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM VERDE ANGRA 3,6L ;002676;FUTURA;TINTA ACRILICA;3;GL;Ativo;32091010;TRIBUTADO (CSOSN 102)
FUTURA CIMENTO QUEIMADO COR CINZA MEDIO;001679;FUTURA;Efeitos Decorativos;3;UN;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOG B.AGUA ACETINADO BRANCO GL 3,6 LT;001425;FUTURA;TINTA ESMALTE ;3;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO ACET EPOXI BRANCO 0,900 ML;002644;FUTURA;TINTA ESMALTE ;3;QT;Ativo;32091020;TRIBUTADO (CSOSN 102)
FUTURA ECOLOGICO B.AGUA BRILHO GELO 900 ML;001541;FUTURA;TINTA ESMALTE ;3;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO PRETO 3,6 LT;001423;FUTURA;TINTA ESMALTE ;3;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUNDO CINZA ANTICORROSIVO 3,6 LT;001217;FUTURA;Complementos e Preparação;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO CAMURCA 3,6 LT;001845;FUTURA;TINTA ESMALTE ;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO MARROM 3,6 LT SOLV.;001622;FUTURA;TINTA ESMALTE ;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO PLATINA 900ML;002654;FUTURA;TINTA ESMALTE ;3;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO VERDE FOLHA 3,6 LT;001846;FUTURA;TINTA ESMALTE ;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA MASSA CORRIDA 5,6 GL;001216;FUTURA;Complementos e Preparação;3;GL;Ativo;32141020;TRIBUTADO (CSOSN 102)
FUTURA SELADOR ACRILICO 3,6 LT;001304;FUTURA;Complementos e Preparação;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD ELEFANTE;002553;FUTURA;TINTA ACRILICA;3;GL;Ativo;32091010;
FUTURA TINTA PISO BRANCO 18 LT;001204;FUTURA;TINTA ACRILICA;3;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA TELHA VERM OXIDO 3,6 LT;001629;FUTURA;TINTA ACRILICA;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
IMPERMEABILIZANTE PARA PAREDE BRANCO GL;002597;FUTURA;Impermeabilização e Vedação;3;GL;Ativo;32091010;
MASSA F-12 MOGNO 400GR;001192;;;3;QT;Ativo;32141020;NÃO TRIBUTADO (CSOSN 400)
MASTIFLEX PU.40 SELANTE POLIURETANO BRANCO - TUBO;001376;;;3;UN;Ativo;35069110;TRIBUTADO (CSOSN 102)
SPARLACK PINTOFF REMOVEDOR 1LT 02.13.005;002759;Sparlack CORAL;Complementos e Preparação;3;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
SPRAY DSCOLOR USO GERAL 400ML / CINZA ESCURO 50553;002474;;;3;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRANCO ACT 3,6 LT SOLVENTE;000405;;;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRANCO FOSCO 3,6 LT SOLVENTE;000408;;;3;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO BRTE 900 ML AGUA;001249;;;3;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV FUNDO BRANCO FOSCO P/ MADEIRA 3,6 LT;000515;;;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV GLASU PINTURA ESSENCIAL BRANCO 3,6L;001244;Suvinil;TINTA ACRILICA;3;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY PRETO FOSCO - 350ML;001270;;;3;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TIGRE DESEMPENADEIRA  ACO - LISA - 2117 C/CABO DE MADEIRA 18.50.028;002628;;;3;UN;Ativo;82055900;
TIGRE DESEMPENADEIRA  ACO INOX CAB FECH 12X45CM;002630;;;3;UN;Ativo;82055900;
TIGRE DESEMPENADEIRA ACO INOX CAB FECH 12X35CM;002633;;;3;UN;Ativo;82055900;NÃO TRIBUTADO (CSOSN 400)
TIGRE DESEMPENADEIRA INOX CANT EXT REF.2123-01;002634;;;3;UN;Ativo;82055900;
TIGRE DESEMPENADEIRA INOX CANT INT REF.2123-00;002635;;;3;UN;Ativo;82055900;
ANJO SPRAY USO GERAL AZUL CLARO 400 ML;002046;;;2;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO STAIN CASA INCOLOR ACET. 3,6 L;001613;;;2;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA MOGNO ACET. 900 ML;001607;;;2;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA NATURAL ACET. 3,6 L;001618;;;2;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO THINNER 2750 5 L;001755;;;2;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ATLAS BALDE MULTIUSO PLAST PRETO 608P;001868;;;2;UN;Ativo;39249000;TRIBUTADO (CSOSN 102)
ATLAS BROXA RETANGULAR 18X8CM 800/2;000156;;;2;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ATLAS DESEMPENADEIRA P/ TEXT DE PLAST 16X8CM 164;001263;;;2;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS ESPATULA ACO CROMADO 15 CM AT6255/21;001452;;;2;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA ACO CROMADO 3,5CM REF: 6255/6;001649;;;2;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA INOX P/ DRYWALL C/ BIT '6' AT1417;001528;;;2;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA RETA. DRYWALL INOX '8' AT6455/8;001527;;;2;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS LUVA BANHADA EM PU M AT1304M;001927;;;2;UN;Ativo;61161000;TRIBUTADO (CSOSN 102)
