Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
"TIGRE TRINCHA 500 1 1/2"" PC 18.50.635";002728;Coral;Utilidades;16;UN;Ativo;96034090;
XADREZ  BRANCO  50ML ;001282;Sherwin Williams;Utilidades;16;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
XADREZ VERMELHO 50ML ;001278;Sherwin Williams;Utilidades;16;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO CINZA CHUMBO 3,6 LT;001214;FUTURA;TINTA ACRILICA;15;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO CINZA 3,6 LT;001213;FUTURA;TINTA ACRILICA;15;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / VERNIZ BRILHO 50548;002767;DSCOLOR;Utilidades;15;UN;Ativo;32082011;
ANJO DILUENTE P/ SELA MADEIRAS 900 ML;001589;;;14;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ATLAS MASCARA DE FELTRO PFF2 C/ VAL. REF: AT2800;001466;;;14;UN;Ativo;63079010;TRIBUTADO (CSOSN 102)
CERA CARNAUBA SUPER BRILHO V8  500ML SANOL;002751;;Complementos e Preparação;14;UN;Ativo;34053000;TRIBUTADO (CSOSN 102)
FUTURA MASSA CORRIDA 25 KG BALDE;001308;FUTURA;Complementos e Preparação;14;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
XADREZ PRETO  50ML ;001281;Sherwin Williams;Utilidades;14;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
BANDEJA TINTA THOMPSON 23CM GRANDE 1600;002477;THOMPSON;Acessórios e Ferramentas;13;UN;Ativo;39259090;
CORAL RENDE MUITO BRANCO FOSCO 3,6L;000558;Coral;TINTA ACRILICA;12;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO PRETO 3,6 LT;001230;FUTURA;TINTA ACRILICA;12;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
GLASU PINTURA ESSENCIAL - BRANCO NEVE - BD;002773;;TINTA ACRILICA;12;BD;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
RESINA PROTETORA INCOLOR;002677;;;12;GL;Ativo;32091010;
