   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ANJO CATA. WASH PRIMER 2:1/ PRETO FOSCO VINILICO 1,2 L;001748;7899027740722;Inativo;1,0000; por UN
;ANJO CATALISADOR EPOXI PDA - COMPONENTE B 900 ML;001734;7899917136062;Inativo;1,0000; por UN
;ANJO CATALISADOR P/ PU E VERNIZ CARBON HS CT0117 450 ML;001995;7899917126162;Inativo;1,0000; por UN
;ANJO CATALISADOR P/ VERNIZ PU CARBON MS CT0120 150 ML;001996;7899917128531;Inativo;1,0000; por UN
;ANJO CATALISADOR PARA PRIMER PU REVOLUTION GT500 150ML;001811;7899917154387;Inativo;1,0000; por UN
;ANJO CATALISADOR WASH PRIMER 2/1 PRETO FOSCO VINILICO 300 ML;001750;7899027739610;Inativo;1,0000; por UN
;ANJO CIMENTO QUEIMADO CINZA CONCRETO 4,1KG;001767;7899917154622;Inativo;1,0000; por UN
;ANJO CIMENTO QUEIMADO CINZA URBANO 4,1KG;001768;7899917154608;Inativo;1,0000; por UN
;ANJO CIMENTO QUEIMADO GRAFITE ALVENARIA 4,1KG;001769;7899917154646;Inativo;1,0000; por UN
;ANJO COLA PLASTICA ESPECIAL BRANCA 400 GR;001960;7899917134389;Inativo;1,0000; por UN
;ANJO COLA PLASTICA ESPECIAL CINZA 400 GR;001961;7899917134365;Inativo;1,0000; por UN
;ANJO COLA PLASTICA SPEED LIGHT 495 GR;001990;7899917137465;Inativo;1,0000; por UN
;ANJO DEMARCACAO BRANCO 18 LTS;002064;SEM GTIN;Inativo;1,0000; por UN
;ANJO DEMARCACAO CINZA CLARO 18 LTS;002065;SEM GTIN;Inativo;1,0000; por UN
;ANJO DESENGRAXANTE 900 ML;001981;7899027701518;Inativo;1,0000; por UN
;ANJO DILUENTE P/ SELA MADEIRAS 5 LTS;001590;7899917155780;Ativo;260,9900; por UN
;ANJO DILUENTE P/ SELA MADEIRAS 900 ML;001589;7899917155742;Ativo;54,9900; por UN
;ANJO DILUENTE P/ VERNIZES AMAZONIA 5 LTS;001592;7899917155711;Ativo;107,7900; por UN
;ANJO DILUENTE P/ VERNIZES AMAZONIA 900 ML;001591;7899917155698;Ativo;21,3000; por UN
;ANJO EFEITO DECORATIVO - MARMORE 3,9KG;001770;7899917154585;Inativo;1,0000; por UN
;ANJO EMBORRACHADA BRANCA FOSCA 18L;001689;7898025461615;Inativo;1,0000; por UN
;ANJO EMBORRACHADA BRANCA FOSCA 3,6 L;001690;7898025461608;Inativo;1,0000; por UN
;ANJO EMBORRACHADA CINZA CLARO FOSCA 18 L;001922;7898025464630;Inativo;1,0000; por UN
;ANJO EMBORRACHADA CINZA ESCURO FOSCA 18 L;001923;7898025461691;Inativo;1,0000; por UN
;ANJO ESM. BASE AGUA ACQUA BRANCO AC 3,6 GL;001763;7898530467300;Inativo;1,0000; por UN
;ANJO ESM. BASE AGUA ACQUA BRANCO AC 900 L;001762;7899027700252;Inativo;1,0000; por QT
;ANJO ESM. BASE AGUA ACQUA BRANCO BR 3,6 GL;001764;7898530462039;Inativo;1,0000; por UN
;ANJO ESM. BASE AGUA ACQUA BRANCO BR 900 ML;001765;7898530462015;Inativo;1,0000; por QT
;ANJO ESM. BASE AGUA ACQUA PLATINA BR 3,6 GL;001771;7898530463005;Inativo;1,0000; por UN
;ANJO ESM. BASE AGUA ACQUA PLATINA BR 900 ML;001766;7898530462985;Inativo;1,0000; por QT
;ANJO ESM. EPOXI PDA CLASSICO CINZA N6,5 3:1 BR 2,7L;001733;7899917135607;Inativo;1,0000; por UN
;ANJO ESM. PRM FLUENCE BRANCO AC 3,6 GL;001713;7899027700979;Inativo;1,0000; por UN
;ANJO ESM. PRM FLUENCE BRANCO AC 900 ML;001714;7899027700962;Inativo;1,0000; por QT
;ANJO ESM. PRM FLUENCE BRANCO FO 3,6 L;001711;7899027701273;Inativo;1,0000; por UN
;ANJO ESM. PRM FLUENCE BRANCO FO 900 ML;001712;7899027701266;Inativo;1,0000; por QT
;ANJO ESM. PRM. FLUENCE PRETO BR 3,6 GL;001704;7899027700405;Inativo;1,0000; por UN
